年月日,時刻,WBGT
2026/09/13,03:00,20.0
2026/09/13,06:00,20.0
2026/09/13,09:00,23.0
2026/09/13,12:00,24.0
2026/09/13,15:00,26.0
2026/09/13,18:00,24.0
2026/09/13,21:00,23.0
2026/09/14,00:00,23.0
2026/09/14,03:00,23.0
2026/09/14,06:00,24.0
2026/09/14,09:00,27.0
2026/09/14,12:00,28.0
2026/09/14,15:00,26.0
2026/09/14,18:00,24.0
2026/09/14,21:00,24.0
2026/09/15,00:00,23.0
2026/09/15,03:00,23.0
2026/09/15,06:00,22.0
2026/09/15,09:00,26.0
2026/09/15,12:00,27.0
2026/09/15,15:00,25.0
2026/09/15,18:00,23.0
2026/09/15,21:00,24.0
2026/09/16,00:00,24.0
